@relation 'AT: Aviation_Accident_Database_&_Synopses.arff-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R2'

@attribute '-0.707Latitude+0.707 Aircraft.Damage' numeric
@attribute ' Longitude' numeric

@data
3.897993,1
-0.063598,-4
1.750781,-4
-0.405557,-4
1.665202,-4
1.37379,-4
-0.347327,-4
0.004448,-5
0.008958,-4
-0.487327,-5
-0.282389,-4
0.431074,-4
1.967912,-4
0.216256,-5
1.75179,-5
0.290635,-4
-0.173124,-3
0.119704,-4
-0.091273,-4
0.037332,-4
-0.537776,-4
-1.616982,-7
0.125044,-5
1.470862,-5
-1.612944,-8
1.831216,-5
-0.217322,-6
-0.392257,-3
-0.429389,-4
-1.622777,-7
-0.502629,-3
-0.14304,-5
-0.202101,-6
-0.024187,-4
-1.656621,-7
-0.220089,-4
-0.116668,-4
-0.520959,-4
0.226414,-4
-0.830669,-5
-0.286378,-4
0.367798,-4
-0.670222,-6
-0.349231,0
-0.101154,-3
-0.801204,-4
3.199327,-3
-0.559948,-3
0.927082,-3
-0.80866,-5
0.059065,-5
0.010195,-4
-0.739962,0
-0.103238,-4
0.028379,-4
0.289446,-4
-0.455127,-5
-0.281933,-3
1.521148,-3
0.109155,-4
-1.480286,-7
0.459742,-4
-0.445294,-3
-0.27355,-5
3.665609,-3
0.059618,-4
0.236393,-4
0.084965,-5
-0.461915,-3
0.505649,-4
0.06753,-5
-0.236726,-3
0.227293,4
-0.597748,-4
-1.54467,-7
0.439051,-4
-0.420322,-4
-0.412134,-3
0.070867,-5
0.023674,-5
0.299116,-4
0.136846,-4
1.560674,-6
-0.431555,-4
0.047767,-5
-0.316543,-5
-0.365722,-5
-2.013615,-6
0.146288,-5
-0.853069,-6
0.336021,-4
1.720941,-4
-1.901208,-5
-1.689342,-7
-0.840322,-5
-2.300827,-4
-0.797443,-5
-0.739832,-5
-0.732132,-4
-0.215596,-3
0.175607,-4
-0.191161,-4
-0.480083,-4
-1.576902,-7
-0.106966,-3
1.377046,-4
1.051562,-6
-0.373064,-5
2.743122,-3
-0.821846,-5
-0.479024,-4
-0.369401,-3
-0.37855,-4
-0.290854,-5
-0.520666,-4
-0.120575,-5
0.047767,-5
-1.684458,-7
-0.756046,-4
-0.417929,-4
-0.334873,-3
-0.401927,-3
1.612181,-5
0.026865,-5
-0.643459,-6
-1.483786,-7
-0.836497,-5
1.557516,-3
0.018627,-4
0.222588,-4
0.016625,-5
-0.064022,-5
-1.518298,-7
-0.402936,-4
1.797925,-4
-0.27075,-4
-0.346561,-3
0.337632,-4
0.399802,-4
0.322363,4
0.016169,-4
0.539705,3
0.023462,-4
-0.022901,-4
2.018051,-4
0.229963,-4
-0.428608,-3
-0.113445,-5
-0.051129,-4
-0.274803,-3
0.014932,-5
-1.766847,-7
-0.054954,-4
-0.318854,-4
-0.663873,-6
-0.10397,-3
-0.56895,-4
-1.4314,-6
-0.41858,-4
0.376588,-4
0.038813,-5
0.545386,-4
-0.145336,-4
-0.386901,-5
-0.763794,-6
-0.211494,-5
-0.108984,-4
-0.198633,-4
-0.405801,-3
-0.321508,-4
-0.342671,-4
-1.455835,-8
0.243588,-5
0.026148,-5
0.079137,-4
0.35313,-4
-0.55075,-5
-0.385306,-4
1.293957,-4
1.883667,-4
0.000411,-3
-0.050559,-5
-1.481898,-7
-2.298694,-3
-0.729169,-3
-0.257726,-6
-0.350892,-4
0.490184,-4
-0.050347,-5
-0.260592,-6
-0.368082,-6
-0.056338,-3
0.158432,-4
-0.347245,-4
-0.784241,-5
1.546869,-3
-0.485829,-4
-1.620693,-7
-0.097963,-5
-1.643549,-7
-0.640139,-4
-0.558645,-5
-0.610934,-5
-0.386185,-4
-0.777729,-5
-0.769036,-6
-0.037128,-4
-0.405231,-4
1.627011,-5
0.125044,5
-0.416089,-3
-0.486497,-5
-0.828699,-6
-0.492959,-5
-0.439303,-4
-0.586694,-6
0.07186,-4
0.293321,-4
1.280022,-5
2.162626,-4
0.250393,-4
-0.007289,-4
0.093462,-5
-0.261226,-6
-0.342768,-3
-0.537434,-4
-0.089824,-3
-0.405508,-5
0.208653,-4
-0.480424,-4
0.037104,-4
-1.648612,-7
-0.565955,-6
0.079153,-4
-0.133696,-5
-0.235294,-6
-1.621833,-7
-0.009747,-4
0.289528,-4
-0.199854,-4
-0.331878,-3
1.708455,-4
-0.406713,-4
-0.621483,-4
-0.306743,-4
-0.47489,-6
